 triples,bleu
7,0.451801002
14,0.572124842
4,1
14,0.24640511
9,0.707106781
7,0.364093024
3,1
9,0.488923022
5,0.818730753
12,0.338347369
13,0.20544098
5,0.000766798
5,1
4,1
4,0.550695315
5,0.009971877
7,0
8,0.508132748
10,0.158824817
18,0.606599743
9,0.48354474
10,0.24183165
8,1
6,0.759835686
29,0.357260593
4,0.182768048
26,0.229118215
15,0.282955963
6,1
9,0.430125085
15,0.316488928
22,0.378081436
5,0.622332977
10,0.511625642
9,0.488923022
34,0.306643913
22,0.470803094
13,0.773055176
19,0.340354862
4,0.23027331
8,0.430125085
14,0.281463997
12,0.477999535
13,0.441248451
11,0.378179043
7,0.608025321
17,0.859388705
8,0.508132748
12,0.5259178
20,0.427287006
4,1
28,0.257527185
18,0.39129503
16,0.474954953
14,0.395348755
25,0.466378967
7,0.43036205
28,0.479971227
9,0.795270729
11,0.343294524
10,0.405057699
8,0.731110446
8,0.402619097
8,0.405611498
3,0.60653066
13,0.240642647
11,0.751477293
31,0.171559599
13,0.343644639
8,0.707106781
11,0.469247006
10,0.441248451
23,0.272268247
15,0.426108272
11,0.352655568
11,0.509199665
14,0.459149769
3,0.367879441
24,0.597950315
13,0.375311927
6,1
9,0.614788153
8,0.673182138
7,0.718608224
26,0.392033265
10,1
12,0.233503084
14,0.524634102
13,0.528993443
30,0.187391754
7,0.336776504
22,0.28118349
33,0.176541262
19,0.411214981
17,0.315237776
17,0.155130266
26,0.451623498
10,0.643187022
8,0.415350924
4,0.60653066
12,0.287554279
25,0.224600007
23,0.341212493
7,0.594603558
5,0.334013593
17,0.569598843
25,0.508132748
10,0.569389388
7,0.334013593
24,0.318061047
3,0.260130048
8,0.546632557
8,0.222300379
10,0.550695315
14,0.459361332
11,0.441413937
8,0.40866465
20,0.386416261
12,0.419174249
18,0.562805745
26,0.227462882
19,0.46042074
13,0.296400954
10,0.45782274
4,0.625947755
24,0.263408397
4,0.716531311
10,0.366331103
4,0.182768048
7,0.43645383
8,0.405057699
4,0.873580465
4,0.334013593
13,0.359304112
6,0.604275079
6,0.207646011
15,0.4961683
10,0.459149769
19,0.458642457
4,1
3,0.291986106
5,0.027417505
5,0.54444606
27,0.265447814
9,0.341077255
11,0.308957578
4,0
12,0.330223228
3,0.60653066
14,0.249259787
6,0.174370385
24,0.300468533
6,0.415233726
11,0.809106712
18,0.492479061
16,0.419174249
23,0.241675289
25,0.253587453
13,0.638943104
9,0.472870805
12,1
12,0.373803674
9,0.367414549
19,0.266179033
13,0.442850014
12,0.257513058
17,0.441791823
13,0.220833582
22,0.30752617
15,0.505196836
6,0.564440379
11,0.441162936
15,0.842362674
9,0.594603558
31,0.457620517
31,0.256687746
17,0.481873042
13,0.589151046
12,0.300964413
14,0.549100487
22,0.261393607
7,0.550321208
8,1
7,0.430125085
21,0.427287006
31,0.332890364
8,0.382602942
3,0.60653066
11,0.594603558
3,0.260130048
3,0.60653066
11,0.45782274
14,0.401398995
23,0.472163902
17,0.608025321
14,0.390738025
14,0.22825471
13,0.336776504
10,0.402935167
6,0.591760627
25,0.453640445
11,0.323729564
9,0.376849916
10,0.483269783
13,0.347870055
19,0.287878782
4,0.562341325
31,0.293088294
25,0.377361111
25,0.152291193
11,1
9,1
2,0
10,0.459149769
4,0.873580465
4,0.568711278
12,1
35,0.260127844
9,0.48354474
7,0
3,0.707106781
8,0.41716227
10,0.326899676
13,0.240642647
3,0.60653066
12,0.498116886
8,0.382651986
22,0.462579989
11,0.43645383
14,0.299822139
24,0.496582832
32,0.253286218
9,0.643458884
3,0.260130048
19,0.235469649
10,0.631555237
7,0.503321045
18,0.176342314
17,0.426319621
8,0.454801905
19,0.103499591
14,0.328042407
6,0.703725948
22,0.602526881
10,0.262690989
23,0.524796452
13,0.38875142
4,0.367879441
7,0.45782274
17,0.64071176
23,0.456542451
10,0.463077716
22,0.396928772
11,0.382979567
6,0.355983548
5,0.494738591
5,0.509523147
11,0.669048441
8,0.262616867
14,0.308781895
5,1
6,0.428881942
12,0.800737403
23,0.433845503
6,0.550695315
38,0.251722574
29,0.194763334
6,0.731110446
22,0.202828849
10,0.262616867
8,0.423836563
18,0.434437125
4,0.182768048
6,0.638943104
10,0.46086364
3,0.428881942
8,0.562341325
14,0.269110911
21,0.205490131
4,0.625947755
11,0.240642647
12,0.357388011
5,0.604275079
7,0.652994206
12,0.533085912
11,0.397487044
25,0.22339546
9,0.577939091
13,0.691308647
9,0.488923022
11,0.459149769
35,0.250507166
7,0.516973154
11,0.490989509
27,0.17650559
28,0.120708408
18,0.33189267
26,0.179625058
10,0.546632557
9,0.707106781
16,0.273101815
6,1
10,0.357388011
26,0.439093992
19,0.56481981
7,0.614386875
3,1
19,0.273101815
18,0.35966115
15,0.311241822
10,0.329072385
12,0.608428854
9,0.600428771
11,0.750623854
19,0.355149609
10,0.488923022
5,0.633949559
12,0.608428854
13,0.632746949
6,0.448152602
24,0.416821895
16,0.328858045
11,0.610195043
14,0.367205627
20,0.145557988
26,0.275988598
13,0.375694696
13,0.314877692
4,0.716531311
10,0.680374933
18,0.357432106
8,0.673182138
16,0.252742666
14,1
12,0.525045958
22,0.217714733
23,0.239836635
13,0.416023908
10,0.894839317
10,0.456227207
10,0.673182138
19,0.392152509
17,0.308781895
8,0.450046768
25,0.300627654
15,0.600783672
8,0.461493737
27,0.198562044
15,0.359670555
18,0.473540765
24,0.257406044
12,0.406919409
33,0.370961764
16,0.432369436
4,0.367879441
24,0.268967416
18,0.393117738
11,0.348469449
6,1
33,0.204858112
8,0.716531311
6,0.759835686
27,0.214274037
15,0.386625272
9,1
19,0.134985696
16,0.389005328
4,0.093836244
14,0.427287006
16,0.29558013
5,0.448511165
16,0.547332024
33,0.208124521
13,0.366545904
10,0.463077716
18,0.46042074
7,0.321058924
11,0.262690989
9,0.415350924
12,0.320307156
12,0.547518254
15,0.254002897
13,0.347870055
14,0.27376781
22,0.204179154
12,0.537832926
29,0.331390037
12,0.600428771
3,1
9,1
4,0.510029457
5,0.693361274
30,0.200249532
11,0.362824143
5,0
16,0.307699532
6,1
8,0.341077255
12,0.537845494
4,0.568711278
21,0.47954447
13,0.739189829
18,0.34384776
7,0.095696497
10,0.30573136
13,0.406607678
12,1
12,0.317023314
7,0.701396727
4,1
11,0.451801002
25,0.145748812
25,0.150484354
10,0.366331103
6,1
16,0.599141704
12,0.247853999
22,0.254976405
4,0.550695315
9,0.365555223
12,0.249422587
14,0.510029457
16,0.294465645
14,0.294725848
13,0.528097222
4,0.591760627
12,0.477999535
4,0.23027331
29,0.286528702
3,0.367879441
6,0.550695315
17,0.183328343
10,0.531727351
3,0.60653066
3,1
3,0.60653066
17,0.340933149
4,0.873580465
11,0.596949179
9,1
12,0.54444606
16,0.35018064
23,0.367361272
11,0.720574545
24,0.271115189
8,0.367012461
12,0.722656881
10,0.653365728
27,0.237133202
9,0.555523807
3,1
3,1
3,0.60653066
3,0.60653066
3,0.60653066
3,0.60653066
3,1
4,0.60653066
3,0.60653066
2,0.60653066
2,0.60653066
3,0.60653066
3,0.428881942
3,0.60653066
3,0.60653066
3,0.60653066
4,1
4,1
3,0.60653066
3,0.367879441
2,0.367879441
2,0.367879441
4,1
4,1
3,0.367879441
4,0.693361274
3,0.260130048
4,0.693361274
2,0.260130048
4,1
4,1
2,0.367879441
2,0.367879441
2,0.367879441
2,0.260130048
3,0.496815063
4,0.873580465
2,0.260130048
7,0.625947755
3,0.260130048
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
2,0.428881942
5,0.448511165
2,0.60653066
4,1
2,0.60653066
4,0.496815063
2,0.157776849
4,0.355983548
7,0.625947755
7,0.693361274
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
4,0.873580465
3,1
3,1
4,0.873580465
2,0.157776849
5,0.291986106
6,0.550695315
2,0.260130048
4,0.707106781
2,0.60653066
10,0.550695315
4,1
4,0.724755793
2,0
4,1
6,0.778800783
4,0.568711278
4,1
6,1
6,0.778800783
6,0.550695315
5,0.622332977
4,0.707106781
2,0.157776849
3,0.22313016
4,0.716531311
4,0.716531311
5,0.693361274
4,0.716531311
6,1
4,0.49760939
4,0.49760939
6,1
6,1
4,0.550695315
4,0.60653066
4,1
5,0.255073358
6,0.60653066
9,0.795270729
6,0.550695315
6,0.562341325
6,0.638943104
4,0.550695315
4,0.513417119
4,0.513417119
8,0.622332977
6,1
4,0.448511165
9,0.818730753
9,0.778800783
4,1
7,0.548062319
5,0.759835686
6,0.795270729
4,0.428881942
6,0.707106781
4,0.448511165
4,0.367879441
6,0.550695315
4,0.355983548
4,0.334013593
6,0.591760627
2,0.334013593
4,0.778800783
8,1
5,0.58995654
7,0.594603558
9,0.448270032
4,0.182768048
4,0.182768048
6,0.703725948
8,0.759835686
9,0.511507812
9,0.604275079
6,0.818730753
4,0.472870805
6,0.724755793
6,1
8,0.547518254
9,0.454801905
4,0.840896415
5,0.513417119
10,1
7,0.633949559
6,0.668740305
4,0.46086364
7,0.511507812
9,0.523122369
8,0.818730753
6,0.428881942
7,1
8,0.448270032
4,0.622332977
4,0.60653066
10,0.511507812
7,0.562341325
4,0.651112603
7,0.555523807
3,0.157776849
8,1
