Cosine, Token Length
0.447213595,5
0.948683298,9
1,3
0.63900965,12
0.316227766,5
0.6172134,8
1,3
0.857142857,7
0.912870929,6
0.667423812,12
0.585369407,14
0.23570226,32
1,5
1,4
0.288675135,5
0.19245009,32
0,7
0.666666667,6
0.306186218,16
0.787726361,16
0.755928946,9
0.746202507,13
1,5
0.365148372,5
0.745601135,16
0.21821789,7
0.800326731,19
0.560448538,13
1,5
0.666666667,7
0.696310624,15
0.914659121,20
0.670820393,4
0.632455532,11
0.857142857,7
0.783349452,27
0.512822594,23
0.402911482,11
0.930949336,15
0.516397779,7
0.6172134,7
0.577350269,12
0.843274043,11
0.801783726,9
0.821583836,11
0.377964473,9
1,13
0.666666667,6
0.894427191,11
0.5,16
1,3
0.731925055,26
0.894427191,14
0.888888889,10
0.752617809,14
0.56694671,18
0.534522484,10
0.429668924,18
0.4,5
0.555555556,10
0.676123404,7
0.3086067,6
0.447213595,10
0.866025404,9
0.816496581,3
0.481125224,13
0.935414347,9
0.62962963,33
0.782623792,11
0.316227766,5
0.603022689,9
0.824957911,9
0.666666667,19
0.769230769,14
0.647150229,15
0.668153105,8
0.957427108,11
0.816496581,4
0.865180913,22
0.555555556,9
1,5
0.857142857,7
0.9258201,7
0.666666667,6
0.914659121,19
1,7
0.615457455,11
0.953462589,10
0.804030252,11
0.667423812,26
0.400891863,10
0.547722558,16
0.577350269,37
0.832050294,17
0.678400525,18
0.613571991,17
0.705023988,24
0.77151675,7
0.668153105,7
0.816496581,3
0.569802882,12
0.685994341,21
0.705023988,23
0.833333333,6
0.204124145,7
0.942809042,18
0.483045892,15
0.894427191,10
0.204124145,7
0.702959492,19
0.40824829,4
0.668153105,7
0.596284794,10
0.875,10
0.737864787,10
0.629940788,9
0.125988158,11
0.77151675,15
0.801783726,10
0.694365075,15
0.619779787,24
0.696310624,12
0.717137166,10
0.632455532,12
0.577350269,4
0.648885685,23
0.866025404,4
0.881917104,10
0.471404521,7
0.316227766,8
0.676123404,7
0.666666667,3
0.223606798,7
0.6,10
0.730296743,5
0.530330086,10
0.833333333,12
0.478091444,7
0.6,19
1,3
0.5,6
0.144337567,17
0.316227766,8
0.692820323,23
0.447213595,9
0.503952631,9
0,4
0.246182982,11
0.816496581,3
0.369800131,15
0.745355992,12
0.612056372,23
0.645497224,11
0.857142857,7
0.596284794,12
0.717137166,10
0.699378606,25
0.612056372,20
0.666666667,9
0.6,6
1,8
0.87038828,13
0.755928946,9
0.526234812,13
0.5,13
0.314485451,13
0.39223227,8
0.246182982,11
0.859337849,15
0.783349452,13
0.612372436,6
0.87038828,12
0.909090909,13
0.833333333,6
0.867227383,27
0.384900179,27
0.720576692,16
0.301511345,13
0.569802882,12
0.85811633,10
0.818923025,19
0.577350269,3
1,5
0.666666667,7
0.552052447,14
0.723568051,28
0.75,8
0.816496581,3
0.875,8
0.40824829,4
0.816496581,3
0.603022689,12
0.467707173,17
0.791154805,23
0.433012702,18
0.800640769,13
0.668993608,14
0.597614305,10
0.9258201,8
0.894427191,5
0.802955069,20
0.301511345,12
0.668153105,8
0.85811633,11
0.384900179,12
0.615384615,15
0.547722558,5
0.601929265,33
0.780720058,21
0.613139339,23
1,10
1,7
0,4
0.478091444,7
0.666666667,3
0.866025404,4
1,10
0.572502574,27
0.755928946,9
0,7
0.5,2
0.547722558,7
0.737864787,11
0.481125224,13
0.816496581,3
0.612372436,13
0.629940788,10
0.714285714,14
0.338061702,8
0.8,10
0.815374248,15
0.529256124,22
0.857142857,7
0.40824829,4
0.821583836,16
0.821583836,10
0.730296743,7
0.601337794,17
0.554700196,18
0.77151675,7
0.50902781,24
0.666666667,13
0.894427191,5
0.866666667,17
0.444444444,9
0.848874688,16
0.737864787,11
0.707106781,6
0.144337567,8
0.85811633,12
0.692820323,23
0.836660027,10
0.552052447,16
0.534522484,8
0.577350269,5
0.730296743,6
0.547722558,6
0.942809042,10
0.544331054,11
0.5,12
1,6
0.612372436,6
0.948683298,11
0.545705156,19
0.25,5
0.559016994,39
0.538027587,27
0.338061702,5
0.63900965,16
0.516397779,11
0.801783726,8
0.421637021,10
0.471404521,7
0.833333333,6
0.680413817,9
0.25,6
0.5,6
0.888888889,10
0.801783726,18
0.577350269,4
0.510310363,13
0.804030252,11
0.8,5
0.333333333,5
0.369800131,14
0.527046277,12
0.857492926,18
0.426401433,11
0.843274043,11
0.857142857,7
0.447213595,8
0.788932059,31
0.714285714,7
0.478091444,11
0.708010432,25
0.418717895,24
0.690065559,19
0.732467021,24
0.625,8
0.875,8
0.534522484,17
1,4
0.804030252,11
0.75,18
0.843274043,10
0.222222222,10
1,3
0.48507125,17
0.43852901,13
0.690065559,15
0.816496581,13
0.333333333,11
0.707106781,9
0.875,9
0.609271796,12
0.857142857,7
0.676123404,7
0.333333333,11
0.632455532,10
0.46291005,8
0.745601135,18
0.311399578,12
0.942809042,9
0.572077554,10
0.726722093,27
0.699378606,26
0.533001791,11
0.636363636,12
0.866025404,4
0.75,8
0.467707173,17
0.9258201,7
0.467707173,17
1,7
0.63900965,13
0.68884672,16
0.56343617,25
0.547722558,12
0.948683298,10
0.942809042,9
0.9258201,7
0.739940073,20
0.5,12
0.597614305,12
0.591607978,14
0.609271796,13
0.845154255,8
0.713024096,17
0.490511472,22
0.429668924,17
0.632455532,22
0.640512615,14
0.703703704,36
0.667423812,12
0.816496581,4
0.555555556,19
0.707106781,19
0.667423812,12
1,4
0.644383337,30
0.9258201,8
0.365148372,5
0.66864785,21
0.8,11
1,6
0.727606875,28
0.632455532,10
0.23570226,9
0.782623792,8
0.632455532,10
0.516397779,5
0.545454545,12
0.43549417,38
0.625,9
0.801783726,10
0.696310624,12
0.881917104,11
0.478091444,7
0.668153105,7
0.591607978,15
0.190692518,12
0.692307692,14
0.703526471,12
0.667423812,12
0.544331054,24
0.319801075,11
0.741940827,29
0.707106781,9
1,3
1,8
0.40824829,6
0.666666667,3
0.703526471,24
0.707106781,9
0,6
0.877058019,13
1,6
0.866025404,9
0.804030252,12
0.866025404,4
0.788240781,18
0.363636364,13
0.467099366,16
0.288675135,6
0.703526471,12
0.609271796,13
1,10
0.533001791,10
0.801783726,8
1,3
0.377964473,8
0.623609564,26
0.450563557,22
0.881917104,10
1,5
0.919866211,13
0.644658371,15
0.585017939,26
0.670820393,5
0.721687836,6
0.554700196,14
0.40824829,12
0.43852901,15
0.904534034,13
0.7,10
0.894427191,5
0.782623792,11
0.471404521,7
0.666972969,16
0.816496581,4
0.670820393,5
0.654653671,23
0.670820393,11
0.816496581,3
1,3
0.816496581,3
0.647150229,15
0.666666667,3
0.888888889,9
1,5
0.288675135,12
0.880704846,18
0.605405515,19
0.85811633,12
0.775631535,24
0.169030851,8
0.301511345,10
0.503952631,9
0.650791373,23
0.676123404,5
1,2
1,2
0.816496581,3
0.816496581,3
0.816496581,3
0.816496581,3
1,2
0.816496581,3
0.816496581,3
0.816496581,3
0.816496581,3
0.816496581,3
0.40824829,3
0.816496581,3
0.816496581,3
0.816496581,3
1,3
1,3
0.816496581,3
0.816496581,4
0.816496581,4
0.816496581,4
1,3
1,3
0.816496581,4
0.666666667,3
0.40824829,4
0.666666667,3
0.40824829,4
1,3
1,3
0.816496581,4
0.816496581,4
0.816496581,4
0.40824829,4
0.666666667,4
0.666666667,3
0.353553391,4
0.577350269,4
0.40824829,4
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
0.40824829,3
0.516397779,5
0.816496581,3
1,3
0.816496581,3
0.288675135,4
0.353553391,5
0.288675135,5
0.577350269,4
0.666666667,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
0.666666667,3
1,3
1,3
0.666666667,3
0.353553391,5
0.774596669,6
0.670820393,5
0.353553391,4
0.75,4
0.816496581,3
0.670820393,5
1,4
0.670820393,5
0,4
1,3
0.894427191,5
0.866025404,4
1,5
1,5
0.894427191,5
0.670820393,5
0.6,5
0.75,4
0.353553391,5
0.707106781,5
0.866025404,4
0.866025404,4
0.666666667,3
0.866025404,4
1,4
0.5,5
0.5,5
1,4
1,4
0.670820393,5
0.816496581,6
1,4
0.471404521,6
0.894427191,6
0.4,5
0.670820393,5
0.6,5
1,5
0.670820393,5
0.866025404,5
0.866025404,5
0.670820393,5
1,4
0.516397779,5
0.912870929,6
0.894427191,5
1,5
0.816496581,6
0.447213595,4
0.8,5
0.670820393,6
0.75,4
0.516397779,5
0.707106781,6
0.670820393,5
0.516397779,5
0.670820393,7
0.894427191,5
0.56694671,7
0.894427191,5
1,6
0.547722558,7
0.833333333,6
0.730296743,7
0.471404521,7
0.471404521,7
0.894427191,5
0.833333333,6
0.666666667,7
0.666666667,6
0.912870929,6
0.5,6
0.670820393,5
1,5
0.730296743,6
0.77151675,7
0.547722558,5
0.866025404,5
1,6
0.730296743,7
0.8,5
0.894427191,6
0.666666667,7
0.912870929,6
0.912870929,6
0.670820393,6
1,6
0.730296743,7
0.6,5
0.894427191,6
0.6172134,7
0.5,6
0.730296743,6
0.6172134,7
0.316227766,5
1,5
0.8,5
0.40824829,6
1,5
1,5
1,5
0.676123404,5
0.9258201,7
0.182574186,7
0.9258201,7
0.670820393,5
1,7
0.833333333,6
0.547722558,7
0.666666667,6
0.666666667,7
0.912870929,6
1,5
0.471404521,6
0.894427191,6
0.816496581,7
0.912870929,7
1,6
0.612372436,6
1,5
0.845154255,7
0.9258201,7
0.730296743,6
1,6
0.676123404,7
0.755928946,8
0.670820393,6
0.666666667,6
0.654653671,7
0.845154255,8
0.612372436,7
0.428571429,8
1,5
1,6
0.612372436,8
1,5
0.666666667,6
0.547722558,6
0,6
1,7
0.670820393,5
0.845154255,8
0.6,6
0.6172134,8
0.46291005,6
0.912870929,7
0.6172134,7
0.21821789,7
0.77151675,6
0.833333333,6
0.63900965,17
0.585017939,18
0.640512615,14
0.866025404,9
0.875,8
0.625,8
0.578637562,37
0.5,22
0.857142857,7
0.526234812,15
0.55,24
0.752617809,12
0.462250164,15
0.68219104,22
0.777777778,9
0.46291005,7
1,9
0.888888889,9
0.77151675,7
0.880704846,16
0.424264069,11
0.739600262,14
0.46291005,6
1,5
0.666666667,7
0.9258201,8
0.668153105,8
1,5
0.833333333,6
1,5
0.433012702,8
0.9258201,7
0.801783726,7
0.6172134,7
0.707106781,8
1,6
0.77151675,6
0.935414347,7
0.833333333,6
0.77151675,7
0.935414347,9
0.9258201,7
0.267261242,7
1,6
1,6
0.182574186,8
0.668153105,8
0.6172134,7
0.6172134,8
0.77151675,8
0.730296743,6
0.507092553,7
0.668153105,9
0.158113883,6
0.571428571,7
0.833333333,6
0.77151675,8
1,7
0.534522484,7
0.377964473,9
0.717137166,7
0.935414347,8
0.857142857,7
1,7
0.935414347,7
0.680413817,9
0.845154255,8
0.3086067,7
0.77151675,7
0.875,8
0.845154255,8
0.571428571,7
0.534522484,7
1,8
1,8
0.77151675,7
0.77151675,6
0.365148372,5
0.629940788,9
0.9258201,7
0,7
0.4,5
0.730296743,7
0.9258201,7
0.46291005,7
0.668153105,8
1,7
1,7
0.935414347,9
0.875,8
0.935414347,7
0.589255651,9
0.857142857,7
0.730296743,7
0.534522484,9
0.547722558,5
0.845154255,7
0.801783726,8
0.942809042,9
0.77151675,7
0.9258201,8
0.9258201,7
1,8
0.935414347,8
0.632455532,8
1,7
0.875,8
0.875,8
0.707106781,10
0.612372436,6
0.77151675,7
0.400891863,7
0.353553391,8
0.666666667,6
0.5,6
0.866025404,8
0.534522484,7
0.75,10
0.288675135,6
0.857142857,7
0.857142857,7
0.730296743,6
0.857142857,7
0.676123404,8
0.845154255,8
0.77151675,8
0.377964473,7
1,8
0.5,9
0.534522484,8
0.353553391,8
1,6
0.824957911,8
0.547722558,6
0.571428571,7
1,7
0.730296743,6
0.721687836,9
0.935414347,9
0.935414347,9
0.935414347,8
0.935414347,8
0.942809042,9
1,7
0.9258201,8
1,6
0.935414347,8
0.6172134,8
1,7
1,7
0.857142857,7
0.866025404,9
0.375,9
0.471404521,9
0.824957911,8
1,6
0.668153105,8
0.632455532,10
0.433012702,9
0.857142857,7
0.801783726,9
0.571428571,7
0.843274043,10
0.77151675,7
0.507092553,7
0.866025404,9
0.680413817,11
0.755928946,11
0.533001791,8
0.589255651,8
0.875,9
0.680413817,9
0.857142857,7
0.857142857,7
0.857142857,7
0.338061702,8
0.801783726,8
0.777777778,10
0.9258201,7
0.571428571,7
0.666666667,9
1,7
1,8
0.845154255,8
0.77151675,7
0.866025404,9
0.721687836,8
0.721687836,9
0.400891863,10
0.790569415,8
0.680413817,9
0.5,8
0.824957911,10
0.589255651,9
0.603022689,9
0.881917104,10
0.875,9
0.478091444,10
0.707106781,10
0.306186218,16
0.424264069,11
0.85811633,10
0.852802865,13
0.485362672,17
0.722315119,36
0.366679399,18
0.783349452,12
0.707106781,9
0.824957911,9
0.815374248,14
0.730296743,14
0.571547607,27
0.490098029,19
0.540061725,12
0.65279121,26
0.87038828,13
0.829288429,22
0.881917104,10
0.670820393,10
0.769800359,12
0.645497224,20
0.973328527,25
0.668153105,8
0.755928946,9
0.40824829,9
0.717137166,11
0.843274043,11
0.769230769,14
0.589255651,11
0.589255651,8
0.639602149,21
0.63900965,12
0.888888889,9
0.421637021,10
0.712750964,51
0.800640769,14
0.814091578,19
0.285714286,8
0.725240668,16
0.644503387,32
0.942809042,9
0.852802865,19
0.629940788,9
0.880704846,13
0.87038828,12
0.559016994,11
0.547722558,16
0.25,8
0.88949918,13
0.8,10
0.880704846,15
0.857142857,24
0.824957911,11
0.726722093,20
0.904534034,11
0.881917104,10
0.77594029,26
0.720576692,13
0.75,8
0.649519053,16
0.400891863,18
0.507092553,7
0.507092553,17
0.83624201,13
0.9,10
0.6875,16
0.881917104,10
0.828078671,16
0.671317113,25
0.613940614,13
0.805822964,16
0.842664841,19
0.572077554,10
0.526234812,14
0.690197038,49
0.6,10
0.668153105,17
0.416666667,13
0.7,12
0.737864787,11
0.210818511,10
0.25,10
0.524142418,14
0.585369407,17
0.6172134,10
0.888888889,18
0.571428571,7
0.707106781,21
0.903696114,17
0.875,8
0.544331054,11
0.821583836,14
0.526234812,13
0.701646415,15
0.904534034,12
0.688032961,24
0.702959492,20
0.603022689,17
0.5,10
0.739600262,13
0.717137166,13
1,9
0.707106781,11
0.455842306,11
0.800197604,26
0.745355992,17
0.490290338,14
0.668153105,8
0.9258201,15
0.609271796,11
0.725240668,15
0.592999453,14
0.701646415,13
0.503952631,20
0.678400525,17
0.801783726,8
0.818181818,11
0.916666667,12
0.759072115,15
0.603022689,12
0.667124385,13
0.288675135,8
0.752617809,13
0.8,11
0.762770071,11
