Triples, Cosine
7,0.447213595
14,0.948683298
4,1
14,0.63900965
9,0.316227766
7,0.6172134
3,1
9,0.857142857
5,0.912870929
12,0.667423812
13,0.585369407
5,0.23570226
5,1
4,1
4,0.288675135
5,0.19245009
7,0
8,0.666666667
10,0.306186218
18,0.787726361
9,0.755928946
10,0.746202507
8,1
6,0.365148372
29,0.745601135
4,0.21821789
26,0.800326731
15,0.560448538
6,1
9,0.666666667
15,0.696310624
22,0.914659121
5,0.670820393
10,0.632455532
9,0.857142857
34,0.783349452
22,0.512822594
13,0.402911482
19,0.930949336
4,0.516397779
8,0.6172134
14,0.577350269
12,0.843274043
13,0.801783726
11,0.821583836
7,0.377964473
17,1
8,0.666666667
12,0.894427191
20,0.5
4,1
28,0.731925055
18,0.894427191
16,0.888888889
14,0.752617809
25,0.56694671
7,0.534522484
28,0.429668924
9,0.4
11,0.555555556
10,0.676123404
8,0.3086067
8,0.447213595
8,0.866025404
3,0.816496581
13,0.481125224
11,0.935414347
31,0.62962963
13,0.782623792
8,0.316227766
11,0.603022689
10,0.824957911
23,0.666666667
15,0.769230769
11,0.647150229
11,0.668153105
14,0.957427108
3,0.816496581
24,0.865180913
13,0.555555556
6,1
9,0.857142857
8,0.9258201
7,0.666666667
26,0.914659121
10,1
12,0.615457455
14,0.953462589
13,0.804030252
30,0.667423812
7,0.400891863
22,0.547722558
33,0.577350269
19,0.832050294
17,0.678400525
17,0.613571991
26,0.705023988
10,0.77151675
8,0.668153105
4,0.816496581
12,0.569802882
25,0.685994341
23,0.705023988
7,0.833333333
5,0.204124145
17,0.942809042
25,0.483045892
10,0.894427191
7,0.204124145
24,0.702959492
3,0.40824829
8,0.668153105
8,0.596284794
10,0.875
14,0.737864787
11,0.629940788
8,0.125988158
20,0.77151675
12,0.801783726
18,0.694365075
26,0.619779787
19,0.696310624
13,0.717137166
10,0.632455532
4,0.577350269
24,0.648885685
4,0.866025404
10,0.881917104
4,0.471404521
7,0.316227766
8,0.676123404
4,0.666666667
4,0.223606798
13,0.6
6,0.730296743
6,0.530330086
15,0.833333333
10,0.478091444
19,0.6
4,1
3,0.5
5,0.144337567
5,0.316227766
27,0.692820323
9,0.447213595
11,0.503952631
4,0
12,0.246182982
3,0.816496581
14,0.369800131
6,0.745355992
24,0.612056372
6,0.645497224
11,0.857142857
18,0.596284794
16,0.717137166
23,0.699378606
25,0.612056372
13,0.666666667
9,0.6
12,1
12,0.87038828
9,0.755928946
19,0.526234812
13,0.5
12,0.314485451
17,0.39223227
13,0.246182982
22,0.859337849
15,0.783349452
6,0.612372436
11,0.87038828
15,0.909090909
9,0.833333333
31,0.867227383
31,0.384900179
17,0.720576692
13,0.301511345
12,0.569802882
14,0.85811633
22,0.818923025
7,0.577350269
8,1
7,0.666666667
21,0.552052447
31,0.723568051
8,0.75
3,0.816496581
11,0.875
3,0.40824829
3,0.816496581
11,0.603022689
14,0.467707173
23,0.791154805
17,0.433012702
14,0.800640769
14,0.668993608
13,0.597614305
10,0.9258201
6,0.894427191
25,0.802955069
11,0.301511345
9,0.668153105
10,0.85811633
13,0.384900179
19,0.615384615
4,0.547722558
31,0.601929265
25,0.780720058
25,0.613139339
11,1
9,1
2,0
10,0.478091444
4,0.666666667
4,0.866025404
12,1
35,0.572502574
9,0.755928946
7,0
3,0.5
8,0.547722558
10,0.737864787
13,0.481125224
3,0.816496581
12,0.612372436
8,0.629940788
22,0.714285714
11,0.338061702
14,0.8
24,0.815374248
32,0.529256124
9,0.857142857
3,0.40824829
19,0.821583836
10,0.821583836
7,0.730296743
18,0.601337794
17,0.554700196
8,0.77151675
19,0.50902781
14,0.666666667
6,0.894427191
22,0.866666667
10,0.444444444
23,0.848874688
13,0.737864787
4,0.707106781
7,0.144337567
17,0.85811633
23,0.692820323
10,0.836660027
22,0.552052447
11,0.534522484
